Top words in document 1
Word: contracted, TF-IDF: 0.01514 
Word: conciliatory, TF-IDF: 0.01504 
Word: providently, TF-IDF: 0.01482 
Word: bainbridge, TF-IDF: 0.01482 
Word: affluent, TF-IDF: 0.01482 
Word: seminary, TF-IDF: 0.01482 
Top words in document 28
Word: 1816, TF-IDF: 0.01894 
Word: annexed, TF-IDF: 0.01699 
Word: sweetening, TF-IDF: 0.0166 
Word: vainglory, TF-IDF: 0.0166 
Word: contemplations, TF-IDF: 0.0166 
Word: repels, TF-IDF: 0.0166 
Word: decimal, TF-IDF: 0.0166 
Word: presages, TF-IDF: 0.0166 
Word: 40th, TF-IDF: 0.0166 
Word: animation, TF-IDF: 0.0166 
Word: juridical, TF-IDF: 0.0166 
Word: remodification, TF-IDF: 0.0166 
Word: overburdening, TF-IDF: 0.0166 
Word: clashing, TF-IDF: 0.0166 
Word: refines, TF-IDF: 0.0166 
Word: relinquishments, TF-IDF: 0.0166 
Word: vicissitudes, TF-IDF: 0.01659 
Word: recollection, TF-IDF: 0.01659 
Word: penalties, TF-IDF: 0.01479 
Word: circuitous, TF-IDF: 0.01448 
Top words in document 29
Word: colonies, TF-IDF: 0.03043 
Word: 1819, TF-IDF: 0.02342 
Word: welldigested, TF-IDF: 0.0195 
Word: 1783, TF-IDF: 0.0195 
Word: cannon, TF-IDF: 0.018 
Word: georgia, TF-IDF: 0.0178 
Word: augmentation, TF-IDF: 0.0178 
Word: lake, TF-IDF: 0.0178 
Word: imperious, TF-IDF: 0.01739 
Word: eastward, TF-IDF: 0.01739 
Word: purchases, TF-IDF: 0.01577 
Word: commenced, TF-IDF: 0.01498 
Word: emigrations, TF-IDF: 0.01464 
Word: interlocks, TF-IDF: 0.01464 
Word: meninfantry, TF-IDF: 0.01464 
Word: galvezton, TF-IDF: 0.01464 
Word: smuggling, TF-IDF: 0.01463 
Word: michigan, TF-IDF: 0.01385 
Word: ghent, TF-IDF: 0.01342 
Word: communicating, TF-IDF: 0.01342 
Top words in document 30
Word: savages, TF-IDF: 0.07089 
Word: adventurers, TF-IDF: 0.05191 
Word: spain, TF-IDF: 0.04844 
Word: amelia, TF-IDF: 0.03812 
Word: ayres, TF-IDF: 0.02475 
Word: wrested, TF-IDF: 0.02321 
Word: buenos, TF-IDF: 0.02235 
Word: pernicious, TF-IDF: 0.02235 
Word: savage, TF-IDF: 0.02163 
Word: combination, TF-IDF: 0.02067 
Word: spanish, TF-IDF: 0.02067 
Word: floridas, TF-IDF: 0.02046 
Word: proportionally, TF-IDF: 0.01941 
Word: plenipotentiary, TF-IDF: 0.01926 
Word: provinces, TF-IDF: 0.01926 
Word: pensacola, TF-IDF: 0.01863 
Word: florida, TF-IDF: 0.01863 
Word: tribes, TF-IDF: 0.01863 
Word: majorgeneral, TF-IDF: 0.01791 
Word: principally, TF-IDF: 0.01772 
Top words in document 31
Word: spain, TF-IDF: 0.05626 
Word: catholic, TF-IDF: 0.05527 
Word: explanations, TF-IDF: 0.04701 
Word: presumed, TF-IDF: 0.02722 
Word: adventurers, TF-IDF: 0.02528 
Word: majesty, TF-IDF: 0.02301 
Word: losses, TF-IDF: 0.01815 
Word: ratified, TF-IDF: 0.01815 
Word: likewise, TF-IDF: 0.01815 
Word: derangement, TF-IDF: 0.01745 
Word: respecting, TF-IDF: 0.01726 
Word: 1818, TF-IDF: 0.01726 
Word: article, TF-IDF: 0.01633 
Word: withheld, TF-IDF: 0.01528 
Word: madrid, TF-IDF: 0.01528 
Word: invariably, TF-IDF: 0.01452 
Word: entertained, TF-IDF: 0.01452 
Word: ratification, TF-IDF: 0.01452 
Word: pecuniary, TF-IDF: 0.01452 
Word: fortifications, TF-IDF: 0.01452 
Top words in document 32
Word: pressures, TF-IDF: 0.02687 
